0,DESCRIÇÃO PARCEIRO
1,SAL ROSA HIMALAIA C/ ALHO 500G
2,JG BOLA NATAL ACASA C/17 DR/PR/BC R952
3,MIST PREP LIQ CHA VDE LINEA 56ML-CX LIMAO
4,ALICATE CUT+ESPAT MUNDIAL SANDY AMARELO
5,MEIA PIZZA PEPPERONI UN
6,JARRA ACASA VIDRO CURVES OJG378
7,FILME DE PVC CONSERV PACK 30M
8,CESTO VIME CRAFTWORK S-25X15XH13
9,MAC BORTOLINI 500GR OVOS ESPAGUETE .
10,COND NOVEX OLEO OJON 300ML
11,BANANINHA S/ACUC CREM FORLIFE 30G
12,ESC DENT DES COLGATE TWISTER LV3PG2
13,POLPA FRUTAS FRUTAE ABACAXI 100G
14,RADICHE HORTA E SAUDE UN
15,TACA NADIR VINHO 220ML 107108 GALLAN
16,LIMP PERF PRATICE PERFUMES PETIT 1L
17,BISC RECH PASSATEMPO CHOC BCO 165G
18,QUEIJO RICOTA VENDA NOVA KG
19,PAO FRANCES BOLA C/GERG.CARONE KG
20,SANDALIA HAVAIANAS ANIMALS MARFIM 37/38
21,VINAGRE PEIXE ALCOOL 750ML
22,CHINELO ACASA R POA RS 41X42 0225
23,ESM COLORAMA NUTRIBASE PRO-FORTALEC 1UN-SM
24,FRALDA GER BIOFRALDA CONFORT PLUS P C/11
25,VELA REGINA C/GLITER BRANCA N.0
26,TERRINA KREA VIDRO C/TAMPA OVAL 700ML
27,TEMP LORD 500ML CASEIRO COM PIMENTA
28,MORANGO DEVILE BJ 250G
29,TESOURA MUNDIAL ESCOLAR PUMAX R-900
30,SUCO CASA MADEIRA UVA FIBRAS GFA 1L
31,BISC NESTLE NESFIT 88G MORANGO E CEREAIS
32,BEB ENERG RED BULL 250ML 4UN-PACK
33,MIST BOLO DONA BENTA CHOC 400G
34,VINHO HUNG TOKAJI MUSCAT BCO 500ML
35,PANELA PRESSAO FORT FLON 3L
36,CANECA ACASA A SEA 003
37,CJ FRIGIDEIRA TRAMONTINA 3PCS V20399781
38,SUPINO BANANA C/CHOC C/3 PCT 72G
39,REQUEIJAO TRAD CREM TIROLEZ 200G
40,CONDIC NICK&VICK NUTRI CACHOS DEFI 300ML
41,FILE SALMAO NETUMAR CONG 1KG
42,LUVA SPONTEX LOUCA MAX TATO P PCT C/1PAR
43,MOUSSE MARACUJA 40G
44,MEL APICULTURA MULTIFLOR COMPOSTO 280G
45,CR FINALZ ELSEVE LEAVE IN REP TOTAL 5+ 100ML
46,TOALHA MESA CORTTEX LAN 1.48X2.20 H BCO
47,PAO HAMB INT SL 300G
48,PANETONE BAUDUCCO MINI LATA 80G
49,AP BARB BIC FLEX 4 OURO
50,LUVA DE COZINHA ESFREBOM GRANDE
51,CHA ERVAS REAL MULTIERVAS MACA VRM C/ 10SQ 10G
52,PAO FOR INTEG LIGHT WICKBOLD 300G 10 GRAOS
53,IOGURTE SANS SOUCI AMEIXA LIGH 750G
54,PROTEINA DE SOJA REALEZA 400G CARNE VERMELHA
55,VINHO NACIONAL MIOLO SELECAO BCO 750ML
56,AZEITE DE DENDE KININO 200ML .
57,MEIA CALCA LOBA OPACA FIO 40 MR P
58,LINGUICA DE FRANGO 1kg FINA SUPERFRANGO RESF
59,ERVA MATE SIMIONI PREMIUM 1KG
60,ABOBORA HORTA & ARTE ORG 600G
61,MAC INST NISSIN T MONICA SV 85G-PC HOT DOG
62,MOLHO TEMPERATTA 900ML ALHO C/PIMENTA
63,SERV AMERICANO RATTAN 32X32 DD0006
64,LIMP BIOZ GREEN MULTIUSO VERBENA 600ML
65,CERA POLWAX SUP BRILHO 750ML INCOL
66,BUCHA Q UTIL C/GANCHO FECH N8 1164 C/5
67,VINHO ARGENTINO ALTOS HORMIG CLAS MALBEC 375ML
68,FOSFORO PARANA GIGANTE ECO C/50
69,ARROZ TIO URBANO POLIDO 1KG TP1
70,PRESUNTO SULITA COZIDO kg .
71,"ASSADEIRA RED MARINEX 3,1LTS MACARRON"
72,SANDALIA CARTAGO SIENA GASPEA AZ 40
73,DOCE EXPEDICIONARIO ABOBORA/COCO kg .
74,REFIL MOP MOR 8271
75,CHOC GRANULADO BRETZKE ESCURO COPO 190G
76,ENERGETICO TNT TANGERINA LT 269ML
77,DESINF MARINA 1L-FR FLORAL
78,COLCHA CORTTEX SOLT B 1.6X2.3 FREDON/AZU
79,CHALEIRA IMP ACO I C/APITO 2.7L WX2201
80,TIGELA PLASTICA 450ml EVO FUNNY CEREJEIRA
81,MOLHO TEMPERATTA 150ML CURRY .
82,CAIXA ORG OU M CO430AZMF
83,PRESUNTO MAGRO SEARA kg BJ .
84,ARROZ TIO JOAO AGULHINHA 5KG TP1
85,MAMADEIRA KUKA AQU ORTO2 ROSA 250ML 1467
86,CAMA ANIMAIS SSPETS COURINO LUXO RS M
87,ESM ELKE NATURAL PORCELANA N.25 7ML
88,VINHO ITALIANO PAIARA PUGLIA 750ml BRANCO
89,ENERGETICO NIGHT POWER 269ML LATA
90,BISC CHIMANGUINHO POLVILHO 130G QJO PARMESÃO
91,AZEITE GALLO EXT SUAVE 250ML
92,JOGO AMERICANO KAPAZI THERMO IMPACT 4PC
93,BISCOITO 150g DAN CAKE CHOCOLATE
94,SANDALIA HAVAIANAS KIDS ATHLETIC PTO /AZUL 33/34
95,IOG SOJA 900G-GF MORANGO
96,LEITE LIVRE UHT SEMI DESNATADO 1L
97,BALA MASTIG FLORESTAL FRUTAS SORT 1KG-PC
98,COGUMELO SHIMEJI NAT SALMAO 200G-BJ RAIZES
99,COXAO MOLE BROCHETE KG
100,IOG POLPA BATAVO 100G-CP PED FRUTA MORANGO
101,"LAVA LOUCAS KOKINOS 500ML, MACA"
102,"POLPA NIAGRO 400G, GOIABA"
103,GRANOLA KOBBER ZERO 250G
104,SH MURIEL UMIDILIZ TEEN 250ML
105,ESM BETULLA SANDY PEROLADO ONIX 216 1UN
106,ABRIDOR INOX KEHOME REF:5693
107,MASCARA FACIAL DE VESCOSE -DAI
108,DRINK KOVAK ICE GREEN APPLE 275
109,BISC DOCE ZEZE MINIDITOS COCO 200G
110,T.NUTRISSE KIT GTS CO.FRUCTIS 200ML 67 CHOC.
111,PRATO KIREY DECOR POA AZUL 180MM C/8
112,VINAGRE ROSANI VINHO TINTO FR 500ML
113,SANDALIA HAVAIANAS KIDS MAX TREND PRETO 25/26
114,FRANGO RESFRIADO kg SEARA
115,FRALDA SUPER JUMBO CAPRICHO XXG C/56
116,JG ENFEITE NATAL IMP 12PCS YWV6708414
117,"COBERTURA SORV DR OETKER 200G, CARAMELO"
118,PANETTONE LOISON CEREJA/CANELA 550G
119,UNHAS KISS NATURALS QUAD MEDIO C/28
120,BANDEIJA DE PLASTICO -DAISO
121,LEITE COCO MAIS COCO 200ML
122,ESM RISQUE CAPPUCCINO 1UN-SM
123,LEITE SAB CHOCO SUSTAGEN 190ML CHOC
124,ESCOVA DENTAL GUM ORA CLEAN 360 MEDIUM
125,TACA CERVEJA RUVOLO 380ML-UN
126,PENEIRA INOX 10CM
127,HIDRAT LOC CORPO PAIXAO INSPIRADORA ONLY YOU 200ML
128,CR DENT CREME SORRISO DENTE BCO 90G LV12 GTS.3 CR DENT CREME GEL SORR.90
129,CHOC BOMBOM MONTEVERGINE CEREJA S/ALCOOL 100G
130,NOZ MACADAMIA KG
131,FILTRO OLEO FRAM PH5796
132,"MOLHO INGLES 150ML, CHINEZINHO"
133,CR TRAT TRESEMME BAIXO POO 400G
134,ALIM CAO DOGCHOW 100G-SACHE CORD T-AO MOLHO
135,ASSADEIRA ACASA CER RED 28CM VM 2421
136,VINHO PORTUGUES RAVASQUEIRA ROSE 750ML
137,VELA REGINA C/GLITER BRANCA N.01
138,SAB KANITZ MUCH LOVE 160G-PT ROSA
139,CERV GERMANIA BLACK 56 LT 710ML
140,FRALDA PAMPERS CONFORT SEC MEGA GDE + 4UN 38UN
141,CESTO ARTHI FLEXIVEL QUAD AZ 22L 7692
142,PAPEL TOALHA SNOB L140 P120
143,BATATA PALHA T BACK TRAD 120G
144,BULE CAFE GERMER B VERSA 3.7211075
145,MORANGO DOM FRUTO PREMIUM BJ 220G
146,ESM COLORAMA G-ANTONELLI ENCONTRO DEL
147,BOLA DE VINIL NA CX SMURF
148,SUCO ORG NATIVE TROPICAL ACAI C/GUARANA TP 1L
149,LINGUA BOV ELGOLLI (PECA) KG
150,SAND ATELIE MINI 130G PRESUNTO
151,PALMEIRA CHAMAEDOREA P15
152,ESC DENTAL CLIA SLIM MEDIA
153,HORTELA SEMPRE VERDE UND
154,VINHO PORTUGUES HERDADE DE SAO MIGUEL 750ML
155,ESC DENT BAS COLGATE TWISTER PLUS MEDIA
156,PANO MICROFIBRA un
157,VINHO NACIONAL ARBO TANNAT TT.SC 750ML
158,SUCO INTEG DO BEM LIMONADA TP 200ML
159,CHAMPIGNON DIZA FATIADO 100G
160,MASSA PARA PASTEL 200g PASTELLI MEDIO
161,CHICLE MENTOS FRESH MINT 126G-DY C12
162,AMAC ROUPA CONC ARES PINK 500ML
163,PASCOA OVO LACTA HELLO KITTY MICO 250G
164,MELAO AMARELO REDINHA VIVA KG
165,CHOC BAR SUFLAIR DUO 110G
166,CEBOLA JOFIR GRANULADA FLOCOS PCT 15G
167,SUPER CONDIC CABELO SEDA HIDRATA 170ML
168,LIXEIRA SANREMO BASC 30LT 283
169,RACAO 8kg XODO CARNE
170,MIST GELATINA SOL MORANGO 35G
171,CHINELO IPANEMA ANAT AD
172,SACO BOREDA FREEZER 3KG 50UN
173,SALAME VILLANI TP NAPOLI FAT 90G
174,PERNIL SUINO kg CONGELADO
175,VINHO MONTGRAS ANTU CHARDONNAY GFA 750ML
176,VINHO GUATAMBU ESTANCIA CABERN GFA 750ML
177,SACO LIXO DOBRASIL ANT BCO PER 100L C/10
178,FLANELA DOZA AMARELA PQ 28X48CM
179,AREIA SANIT BAW WAW BEAUTY GATOS 3KG
180,OLEO CANOLA GIROIL GFA 250ML
181,"TEMP FLOCOS AROMA ERVAS CEBOLA, ALHO E SALSA 40G"
182,VELA ANIV FEST LAR DECORATIVA AZUL C 20
183,FILTRO PAPEL JOVITA 103
184,"VINHO NACIONAL RANDON SV TT 4,6L"
185,SHA PALMOLIVE NAT DETOX 350ML
186,VINHO ITALIANO COLOMBINA ROSSO DI MONTALCINO 750ML
187,COND FRUCTIS LISO ABS.ESCOVA 400ML
188,BONECA MANDINHA PENIQUINHO APOLO
189,LEITE LV SHEFA GARRAFA SEMI DESN 1L
190,ARROZ GRAO DE OURO PARBOILIZADO PCT 1KG
191,AMENDOA UNIAGRO S/CASCA LAMINADA PT 110G
192,HIDRAT LOC CORPO SUAVITY ABACATE/VITAM. 500ML
193,PALMITO PUPUNHA CULTIVERDE INT 270G
194,PALMITO ICOARACI 450G-LT PICADO ACAI
195,PALITO FIBRAS BIOSOFT LIGHT 30G FRUTAS VERMELHA
196,"ALIM P CAES BEATY PET 8KG, CARNE VEG"
197,FARINHA MANDIOCA ROCHA EXTR FINA S/G 1KG
198,SANDALIA HAVAIANAS ALLEGRA PRINT AMARELO POLEN 35/36
199,FARINHA DE MANDIOCA 5kg YOKI TORRADA
200,COBERTURA BESTWAY FAST SET 3.35M 58033
201,CASTANHA CAJU MUCURIPE 130G CARAM C/ GERG
202,CAFE ALMOF D-CENTRO ESPECIAL ORIG PARANA 250G
203,AMENDOA LAMINADA BENASSI kg
204,SALSICHA CONG kg AURORA
205,CRISANTEMO VASO DE BARRO DECORADO
206,LEITE TIROL INTEGRAL C/TAMPA TP 1L
207,ASA DO BRASIL RALADOR 3 FACES 11CM
208,CEBOLA 500g COOPERORG
