DESCRIÇÃO PARCEIRO,SUB-CATEGORIA,CATEGORIA,DEPARTAMENTO
"PASTA INT VITAPOWER 1,005KG AMEND/SHOT",TRADICIONAL,CREME DE AMENDOIM,MERCEARIA DOCE
ESPONJA BETTANIN BRILHUS C/1,MULTIUSO,ESPONJA SINTÉTICA,CUIDADOS COM A COZINHA
AGUA MIN SCHIN S/GAS 500ML,SEM GÁS,ÁGUA MINERAL,BEBIDAS NÃO ALCOÓLICAS
FITA DUPLA FACE C/SUPORTE SCOTCH,FITA ADESIVA,PAPELARIA,PAPELARIA
MASSA PIZZA ROMANHA OREGANO PCT 160G,PIZZA REGULAR,MASSA FRESCA,MASSAS FRESCAS
BISC LANCH BAUDUCCO RECHEADINHO CHOCOLATE 104G,LANCHINHO,BISCOITO,MERCEARIA DOCE
VINHO FRANCES CHEVALIER CHABLIS BCO 750ML,VINHO FRANCÊS,VINHO,BEBIDAS ALCOÓLICAS
DES ROLL REXONA INVISIBLE 50ML,ROLL ON COM PERFUME,DESODORANTE MASCULINO,CUIDADOS COM O CORPO
"SORVETE NOBRELLI 1,5L PT FLOCOS",POTE TRADICIONAL,SORVETE,CONGELADOS DOCES
NOZ MOSCADA KONSABOR 10G,NOZ MOSCADA,CONDIMENTO NATURAL,MERCEARIA SALGADA
T.IMEDIA EXCELL KIT GTS CO.ELSEVE 7.1 LOUR.ACZ.,PERMANENTE LOURO,COLORAÇÃO FEMININA,CUIDADOS COM O CABELO
SALGADINHO BATATA TONYS 160G CEBOLA,SALGADINHOS TORTILHAS,SALGADINHO E APERITIVO,MERCEARIA DOCE
SUCO CONC SERIGY CAJU 500ML,REGULAR,SUCO CONCENTRADO,BEBIDAS NÃO ALCOÓLICAS
FACA DE SASHIMI (AO INOXIDVEL -DAISO,FACA,UTENSÍLIOS DE INOX/ALUMÍNIO,UTILIDADES DE COZINHA
CERVEJA TUPINIQUIM PREMIUM LAG GFA 600ML,PREMIUM,CERVEJA,BEBIDAS ALCOÓLICAS
SUCO SUVALAN 100% UVA 1L,REGULAR,SUCO PRONTO/NECTAR,BEBIDAS NÃO ALCOÓLICAS
VINHO FRANCES D GILLIERES MUSCADET BCO 750ML,VINHO FRANCÊS,VINHO,BEBIDAS ALCOÓLICAS
REFRIG XERETA MACA PET 350ML,MAÇÃ,REFRIGERANTES,BEBIDAS NÃO ALCOÓLICAS
TIRA MANCHA PO INOVE BLANC CLASS 450G,TIRA MANCHA PÓ,TIRA MANCHA,CUIDADOS COM A ROUPA
PIPOCA PRON DOCE TUICK 50G,PIPOCA PRONTA DOCE,SALGADINHO E APERITIVO,MERCEARIA DOCE
"COMBO MONTAIN DEW 1,5L-PET LV2PG1",LIMÃO,REFRIGERANTES,BEBIDAS NÃO ALCOÓLICAS
BISTECA BOV HEREFORD EG KG,BISTECA,BOVINO RESFRIADO,AÇOUGUE
MAC LA VENEZIANE 200G RIGATONI S/GLUTEN,SEM GLÚTEN,MASSA SECA,MERCEARIA SALGADA
"CAFE CAPITAL 500G, TRADICIONAL PURO",ALMOFADA TRADICIONAL,CAFÉ,MERCEARIA DOCE
SANDALIA HAVAIANAS TOP DISNEY AMAR BANANA 35/36,SANDÁLIA,CALÇADO ADULTO,CALÇADO
LAVA ROUPA LIQ BRILHANTE 1L,INTERMEDIÁRIO,LAVA ROUPA LÍQUIDO,CUIDADOS COM A ROUPA
BISC BAUDUCCO WAFER 78G BRIGADEIRO,WAFFER,BISCOITO,MERCEARIA DOCE
EVAP LIB LG 9000 QF DUAL INV 220V,SPLIT/MULTISPLIT,VENTILAÇÃO,ELETRO
"ALIM P GATOS MAGNUS CAT 1KG, MIX",SECO,ALIMENTO PARA GATOS,PET SHOP
REQUEIJAO CREM.ITAMBE ERVAS FINAS 220GR,CREMOSO,REQUEIJÃO,GORDUROSOS
FARINHA MANDIOCA MONSIL 1KG,FARINHA DE MANDIOCA,FARINÁCEO,MERCEARIA DOCE
PASCOA OVO NESTLE SOLLYS 190G,OVO DE PÁSCOA,OVO DE PÁSCOA,MERCEARIA DOCE
DOCE TENERE 200GR FONDANT C/CHOCOLATE,RECHEIO E COBERTURA PARA BOLO,COBERTURA,MERCEARIA DOCE
PEGADOR MASSA UNILAR NYLON PRETO CABO AMARELO,PEGADOR,UTENSÍLIOS DE NYLON,UTILIDADES DE COZINHA
OVOS LABEL MASTERCHEF CAIPIRA C/6,OVOS CAIPIRAS,OVOS,HORTIFRUTI
PRATO OXFORD PORC FDO 23CM BCO,PRATO,UTENSÍLIOS DE PORCELANA/CERÂMICA,UTILIDADES DE COZINHA
BALAO BIG 1und CONEXAO MULTICOR,BALÃO,ARTIGOS PARA FESTAS,DESCARTÁVEIS
ACUCAR MASCAVO GUIMARAES ORG 300G,MASCAVO,AÇÚCAR,MERCEARIA DOCE
CONFEITO BIBS PRETO/BRANCO PCT 40G,CONFEITO CHOCOLATE,CONFEITOS,MERCEARIA DOCE
VINHO ESPUMANTE GUATAMBU NATURE GFA 750ML,ESPUMANTE,SIDRA/ESPUMANTE,BEBIDAS ALCOÓLICAS
OETKER MISTURA P/ BOLO ESPECIAIS 450g NEGA MALUC,MISTURAS,FARINÁCEO,MERCEARIA DOCE
GARFO ROMANA PLASTICO GRANDE C/10 CRISTAL,TALHERES,ARTIGOS PARA FESTAS,DESCARTÁVEIS
SABONETE LIQUIDO 250ml DOVE PUMP KARITE,BÁSICO,SABONETE LÍQUIDO,HIGIENE PESSOAL
SH FRUCTIS OLEO REP 3OLEOS 400ML,REPARADOR,SHAMPOO,CUIDADOS COM O CABELO
"VERDE VALE PALMITO INTEIROS 1,2kg",INTEIRO,PALMITO,MERCEARIA SALGADA
ESCOVA CAB MARCO BONI ALMOFADA GDE SHELL LINE 8,ESCOVA PARA CABELO,ACESSÓRIOS PARA CABELO,CUIDADOS COM O CABELO
GARRAFA TERMICA EASY MOR 1L,GARRAFA TÉRMICA,UTENSÍLIOS PARA CAFÉ,UTILIDADES DE COZINHA
VINHO AFRICANO OBIKWA PINOTAGE 750ML,VINHO AFRICANO,VINHO,BEBIDAS ALCOÓLICAS
RUCULA HIDROHORTA UND,RÚCULA,VERDURAS,HORTIFRUTI
BANANA PASSA SCHMITT BJ 400G,BANANA,FRUTA SECA,EMPÓRIO
ESCUMADEIRA MARANA C/CABO BAQUELITE,ESCUMADEIRA,UTENSÍLIOS DE NYLON,UTILIDADES DE COZINHA
PEGADOR STARHOUSE UNIVERSAL 20CM,PEGADOR,UTENSÍLIOS DE INOX/ALUMÍNIO,UTILIDADES DE COZINHA
VINHO ARGENTINO ALTA VISTA ROSE MALBEC 750ML,VINHO AMERICANO,VINHO,BEBIDAS ALCOÓLICAS
"LIMP PERF AROMA & ENCANTOS AMOR, AMOR 500ML",PERFUMADO,LIMPADOR MULTIUSO,CUIDADOS COM A CASA
MASSINHA SUPER MASSA FORMAS - ESTRELA,MASSINHA,BRINQUEDOS UNISEX,BRINQUEDO
REQUEIJAO CHAPADA BALDE CREMOSO 420G,CREMOSO,REQUEIJÃO,GORDUROSOS
KIT TINT TONALZ CASTING GLOS GTS/CO RT5 200ML 535C,TONALIZANTE OUTROS,COLORAÇÃO FEMININA,CUIDADOS COM O CABELO
CAFE PILAO TRADICIONAL SACHET 500G,ALMOFADA TRADICIONAL,CAFÉ,MERCEARIA DOCE
LAVA ROUPA TABLET IN PASTILHA 2EM1 300G,DETERGENTE MÁQUINA TABLETE,LAVA LOUÇA,CUIDADOS COM A COZINHA
SANDALIA HAVAIANAS TOP MAX CINZA ACO 45/46,SANDÁLIA,CALÇADO ADULTO,CALÇADO
SAND HAVAIANAS SL ORG 33/34 AREIA,SANDÁLIA,CALÇADO ADULTO,CALÇADO
VINHO NAC MONTE REALE BAG 3L TINTO SUAVE,VINHO NACIONAL,VINHO,BEBIDAS ALCOÓLICAS
BANANA PASSA ORG ORGANIC 200G-PC,BANANA,FRUTA SECA,EMPÓRIO
ESPUMANTE AIMERY CUVEE BCO BRUT 750ML,ESPUMANTE,SIDRA/ESPUMANTE,BEBIDAS ALCOÓLICAS
JG TOALHA BUDDEMEYER LOLLIPOP 2PCS 1845,TOALHA,BANHO,"CAMA, MESA E BANHO"
XICARA CAFE LEITE PEQ,XÍCARA,UTENSÍLIOS DE VIDRO,UTILIDADES DE COZINHA
CHA MAT PEAO ERVA 500G-PC,MATE,CHÁ,MERCEARIA DOCE
CONDICIONADOR 1L BIOEXTRATUS TUTANO,TRADICIONAL,CONDICIONADOR,CUIDADOS COM O CABELO
SAND (f) HAVAIANAS T MAX ST 41/42 BC/MAR,SANDÁLIA,CALÇADO ADULTO,CALÇADO
CXA./SOBC.FRANGO ASSADA CARONE KG,FRANGO,COXINHA,SALGADO
COND SEDA LISO PERFEITO 350ML,LISO,CONDICIONADOR,CUIDADOS COM O CABELO
LEITE PO NINHO INST L400GP360G,TRADICIONAL,LEITE EM PÓ,MERCEARIA SALGADA
"GUARD PAP BOMP 50UN-PC PEQ 20X22,5",GUARDANAPO,GUARDANAPO DE PAPEL,DESCARTÁVEIS
CEREAL MAT ACUC SKARCHITOS SUPERBOM 200G,AÇUCARADO,CEREAL MATINAL,MERCEARIA DOCE
"SORVETE JUNDIA MAX CHOC BRANCO POTE 1,5LT",POTE TRADICIONAL,SORVETE,CONGELADOS DOCES
CADERNO CD 10M 200F JANDAIA BELIEVE,CADERNO,MATERIAL ESCOLAR,PAPELARIA
FRONHA ACASA D MICROF C/2 PR 50X70,FRONHA ,CAMA,"CAMA, MESA E BANHO"
PALMITO PUPUNHA T PACO 300G LASANHA,EM FIOS,PALMITO,MERCEARIA SALGADA
BISC LIANE S/LACT RECH CHOC PCT 115G,RECHEADO,BISCOITO,MERCEARIA DOCE
RISCHIOTO KIT POTE RET.2PCS GDE REF 321,POTES,UTENSÍLIOS DE PLÁSTICO,UTILIDADES DE COZINHA
CHICLETE DISPLAY FREEGELLS GUM AZ UVA 21UN,CHICLETE UVA,BOMBONIERE,MERCEARIA DOCE
FEIJAO PRETO 1kg KICALDO,FEIJÃO PRETO,FEIJÃO,MERCEARIA SALGADA
LIXEIRA KREA PLAST C/PEDAL 5L OTIN19,LIXEIRA,LIXEIRA,LAVANDERIA
LEITE LA SERENISSIMA DESNAT PCT 300G,DESNATADO,LEITE EM PÓ,MERCEARIA SALGADA
BALDE SANREMO OBA 8L,BALDE,UTENSÍLIOS DE PLÁSTICO,LAVANDERIA
BISC MAIZENA DUCHEN 200G,MAIZENA,BISCOITO,MERCEARIA DOCE
HIDRAT LOC CORPO NIVEA MILK CONJ.2. 200ML GTS DES 35ML,HIDRATAÇÃO,HIDRATAÇÃO PARA O CORPO,CUIDADOS COM O CORPO
SEM. FLOR FELTRIN VENIDIO LARANJA,SEMENTES,JARDINAGEM PLANTAR,JARDINAGEM
FORNO ELET ELECTROLUX 15L I 220V EOC30,CONVENCIONAL,FORNO ELÉTRICO,ELETRO
"PUDIM OETKER ZERO 40G, CHOC/FIBRA",MISTURAS,FARINÁCEO,MERCEARIA DOCE
ALCATRA SUIN DATERRA GRILL RESF KG,ALCATRA,BOVINO RESFRIADO,AÇOUGUE
COND JOHN FRIEDA FE SMOOTH REPARADOR 295ML,RESTAURADOR,CONDICIONADOR,CUIDADOS COM O CABELO
COXA ASA APIM B FRANGO 1kg,COXA,AVE RESFRIADA,AÇOUGUE
BUCHA VEGETAL NATURAL DO CARMO UN,BUCHA VEGETAL,ACESSÓRIOS DE BANHO,CUIDADOS COM O CORPO
CUPIM PC.INT.VACUO KG,CUPIM,BOVINO RESFRIADO,AÇOUGUE
GARRAFA AGUA IMP ACASA A TRIT 1L AZ 1000,JARRA/GARRAFA,UTENSÍLIOS DE PLÁSTICO,UTILIDADES DE COZINHA
FRALDA DESC MASCOT BABY JUMBINHO M C/20,BÁSICA M,FRALDA INFANTIL,HIGIENE PESSOAL INFANTIL
CANECAO ALOESTE EXTRA 12 .,CANECA,UTENSÍLIOS DE INOX/ALUMÍNIO,UTILIDADES DE COZINHA
MOLHO SALADA HELLMANNS 475ML-PET PARMESAO,QUEIJO,MOLHO PARA SALADA,MERCEARIA SALGADA
BISC WAFER VIEIRA CUBO CACAU 100G,WAFFER,BISCOITO,MERCEARIA DOCE
QUEIJO MINAS PADRAO K PARACATU,MINAS PADRÃO TRADICIONAL,QUEIJO,FRIOS
CAFETEIRA ELECTROLUX EXP I DIG 127 CMP60,CAFETEIRA,CAFETEIRA/CHALEIRA ELETRICA,ELETRO
RIC BISNAGUINHA LEITE 250g,BISNAGUINHA,PÃES,PADARIA
OLEO CANOLA VIVAA ORIGINAL SPRAY 177ML,ÓLEO DE CANOLA,ÓLEO,MERCEARIA SALGADA
AMAC ROUPA QBOA MACIEZ C/ CARINHO 500ML,TRADICIONAL,AMACIANTE,CUIDADOS COM A ROUPA
VASO IMP CERAM CACTUS 14.7X9.6X15.5 VD,CERÂMICA,VASOS,DECORAÇÃO
CADERNO TILIBRA COSTUR UNIV 80FLS PEPP PR,CADERNO,MATERIAL ESCOLAR,PAPELARIA
SAND INF HAVAIANAS KIDS CARS 33/34 AZ EST/VM,SANDÁLIA,CALÇADO INFANTIL,CALÇADO
MUSCULO TRAS BOV DISTRIBOI (PECA) KG,MUSCULO,BOVINO RESFRIADO,AÇOUGUE
CHOC VILLARS 72% CACAU BR 100G,CHOCOLATE 70% CACAU,BOMBONIERE,MERCEARIA DOCE
"MAC INST RENATA 85G, CARNE",INSTANTÂNEO CARNE,MASSA SECA,MERCEARIA SALGADA
CERVEJA BLONDINE BAD MOOSE WEISS 500ML,ARTESANAIS,CERVEJA,BEBIDAS ALCOÓLICAS
BIJU PALITOS CEBOLA E PIMENTA,SNACK,SALGADINHO E APERITIVO,MERCEARIA DOCE
QUEIJO MUSS BANDEIRA KG CONDIM NOZINHO,MUSSARELA,QUEIJO,FRIOS
CASTANHA CAJU TORRADA/SALGADA KG,CASTANHA DE CAJU,OLEOGINÓSA,MERCEARIA SALGADA
RESIST UD LORENZETTI 110V 5400W,RESISTÊNCIA,HIDRÁULICA,MANUTENÇÃO
LINHACA DOURADA ORG NATIVE 200G,LINHAÇA,SAUDÁVEL,MERCEARIA DOCE
GARRAFA GO DEC 500ML -DAISO,JARRA/GARRAFA,UTENSÍLIOS DE PLÁSTICO,UTILIDADES DE COZINHA
OSSO ORIGINAL 8EM1 C/2 175G,PETISCOS,ALIMENTO PARA CÃES,PET SHOP
VINHO CHIL ANTAKARI RSV 750ML SAUVIGNON BLANC,VINHO CHILENO,VINHO,BEBIDAS ALCOÓLICAS
SHAMPOO BARRO MINAS 300ML SULFATE FREE,USO DIÁRIO,SHAMPOO,CUIDADOS COM O CABELO
SAB ALYNE LIQ 1000ML PETALAS ROSAS,PERFUMADO,SABONETE LÍQUIDO,HIGIENE PESSOAL
VELA SUPER STAR 1un CONEXAO N.0 ROSA,VELA,ARTIGOS PARA FESTAS,DESCARTÁVEIS
CAIXA TERMICA COLERMAM . 26.5 LITROS VERMELHA,BOLSAS/CAIXAS TÉRMICAS,TÉRMICOS,LAZER/CAMPING
COPO MANCHESTER LDR 310ml NADIR,COPO,UTENSÍLIOS DE VIDRO,UTILIDADES DE COZINHA
PAO ALHO REG ZE DO ESPETO 450G-PC TRAD,REGULAR,PÃO DE ALHO,RESFRIADOS
PISCINA FAST SET BESTWAY 3700L 305X76C,PISCINAS,PRAIA/PISCINA,LAZER/CAMPING
CREME DE LEITE BETANIA 200G,TRADICIONAL,CREME DE LEITE,MERCEARIA DOCE
COND SANOL DOG 500ML,SHAMPOO E CONDICIONADOR,HIGIENE/LIMPEZA PET SHOP,PET SHOP
ESPUMANTE 750ml OMNIUM BRUT,ESPUMANTE,SIDRA/ESPUMANTE,BEBIDAS ALCOÓLICAS
CERV KUD BLACKBIRD BLACK IPA GF 600ML,ARTESANAIS,CERVEJA,BEBIDAS ALCOÓLICAS
AMAC ROUPA PROEZA PERF NENEM BCO 2L,TRADICIONAL,AMACIANTE,CUIDADOS COM A ROUPA
AGENDA TILIBRA ESP LOVE BEARS M4,AGENDA,MATERIAL DE ESCRITÓRIO,PAPELARIA
DESOD.ROLL-ON HYDRATTA 50ML MEN AZUL,ROLL ON COM PERFUME,DESODORANTE MASCULINO,CUIDADOS COM O CORPO
DOCE BANANADA LUAL 30G,BANANA,DOCE MASSA,MERCEARIA DOCE
BRINQ DUGS OSSO VINIL C/AROMA,BRINQUEDO,ACESSÓRIOS PET,PET SHOP
MANTA ACASA N BOHO AZ 120X150 0610,MANTA,CAMA,"CAMA, MESA E BANHO"
ACETONA ENLACE 100ml,REMOVEDOR ESMALTE,REMOVEDOR,CUIDADOS COM MÃOS E PÉS
QUEIJO COALHO MILHA KG FATIADO,COALHO,QUEIJO,FRIOS
FACA BRINOX JUMBO P/CHURRASCO,FACA,UTENSÍLIOS DE INOX/ALUMÍNIO,UTILIDADES DE COZINHA
VINHO TTO ALAMOS 375ML MALB ARG,VINHO TINTO,VINHO,BEBIDAS ALCOÓLICAS
CR TRAT SEDA POS ALIS.QUIMIC SACHET 30G,PÓS QUÍMICA,CREME PARA TRATAMENTO,CUIDADOS COM O CABELO
KIT CERV THEREZOPOLIS EBENHOLZ GF 600ML,ESPECIAIS,CERVEJA,BEBIDAS ALCOÓLICAS
"SUCO DAFRUTA 1,5L REFRSH CITRUS",REGULAR,SUCO PRONTO/NECTAR,BEBIDAS NÃO ALCOÓLICAS
PIRULITO POP MANIA CHICLE MORANGO 600G-PC C/50,PIRULITO CHICLETE,BOMBONIERE,MERCEARIA DOCE
LAMPADA TASCHIBRA ESP 45W 6400K 220V,LÂMPADA,ILUMINAÇÃO,MANUTENÇÃO
CHA MATE ORGANIQUE PESSEG Z ORG LT 350ML,MATE,CHÁ PRONTO,BEBIDAS NÃO ALCOÓLICAS
COLHER DESC GOLDENPLAST REFEICAO CRISTAL C/50,TALHERES,ARTIGOS PARA FESTAS,DESCARTÁVEIS
LUZ NOBRE ASSADEIRA ALUMINIO N. 1,ASSADEIRA,UTENSÍLIOS DE INOX/ALUMÍNIO,UTILIDADES DE COZINHA
SANDALIA HAVAIANAS SURF BG/PT 39X40,SANDÁLIA,CALÇADO ADULTO,CALÇADO
PICOLE LA PALETA 120G OVOMALTINE,PICOLÉ,SORVETE,CONGELADOS DOCES
ACUCAR CRISTAL LACUCAR 2KG,CRISTAL,AÇÚCAR,MERCEARIA DOCE
"GEL SANT ZAP ADES CLEAN APAR 38G, CITR",GEL,LIMPEZA SANITÁRIA,CUIDADOS COM O BANHEIRO
CHAVE COMBINADA TRAMONTINA 15MM41128/115,CHAVE COMBINADA,FERRAMENTA,MANUTENÇÃO
