,DESCRIÇÃO PARCEIRO,SUB-CATEGORIA,CATEGORIA
0,SAL ROSA HIMALAIA C/ ALHO 500G,SAL DO HIMALAIA,SAL
1,JG BOLA NATAL ACASA C/17 DR/PR/BC R952,BOLA DE NATAL,ENFEITES DE NATAL
2,MIST PREP LIQ CHA VDE LINEA 56ML-CX LIMAO,MISTURAS,FARINÁCEO
3,ALICATE CUT+ESPAT MUNDIAL SANDY AMARELO,ALICATE,ACESSÓRIOS MÃO E PÉ
4,MEIA PIZZA PEPPERONI UN,PRESUNTO,PIZZA
5,JARRA ACASA VIDRO CURVES OJG378,JARRA/GARRAFA,UTENSÍLIOS DE VIDRO
6,FILME DE PVC CONSERV PACK 30M,FILME PVC,FILME PVC
7,CESTO VIME CRAFTWORK S-25X15XH13,CESTO DE ROUPA,ORGANIZADOR
8,MAC BORTOLINI 500GR OVOS ESPAGUETE .,ESPAGUETE,MASSA SECA
9,COND NOVEX OLEO OJON 300ML,TRADICIONAL,CONDICIONADOR
10,BANANINHA S/ACUC CREM FORLIFE 30G,BANANA,DOCE MASSA
11,ESC DENT DES COLGATE TWISTER LV3PG2,ESCOVA DENTAL DESEMPENHO,ESCOVA DENTAL ADULTO
12,POLPA FRUTAS FRUTAE ABACAXI 100G,ABACAXI,POLPA DE FRUTA
13,RADICHE HORTA E SAUDE UN,COUVE,VERDURAS
14,TACA NADIR VINHO 220ML 107108 GALLAN,TAÇAS,UTENSÍLIOS DE VIDRO
15,LIMP PERF PRATICE PERFUMES PETIT 1L,PERFUMADO,LIMPADOR MULTIUSO
16,BISC RECH PASSATEMPO CHOC BCO 165G,RECHEADO,BISCOITO
17,QUEIJO RICOTA VENDA NOVA KG,RICOTA,QUEIJO
18,PAO FRANCES BOLA C/GERG.CARONE KG,PÃO FRANCÊS,PÃES
19,SANDALIA HAVAIANAS ANIMALS MARFIM 37/38,SANDÁLIA,CALÇADO ADULTO
20,VINAGRE PEIXE ALCOOL 750ML,VINAGRE ÁLCOOL,VINAGRE
21,CHINELO ACASA R POA RS 41X42 0225,CHINELO,CALÇADO ADULTO
22,ESM COLORAMA NUTRIBASE PRO-FORTALEC 1UN-SM,ESMALTE,ESMALTE
23,FRALDA GER BIOFRALDA CONFORT PLUS P C/11,FRALDA GERIATRICA P,HIGIENE GERIÁTRICA FEMININA
24,VELA REGINA C/GLITER BRANCA N.0,VELA,ARTIGOS PARA FESTAS
25,TERRINA KREA VIDRO C/TAMPA OVAL 700ML,TERRINA,UTENSÍLIOS DE VIDRO
26,TEMP LORD 500ML CASEIRO COM PIMENTA,CASEIRO,TEMPERO
27,MORANGO DEVILE BJ 250G,MORANGO,FRUTAS
28,TESOURA MUNDIAL ESCOLAR PUMAX R-900,TESOURA,MATERIAL ESCOLAR
29,SUCO CASA MADEIRA UVA FIBRAS GFA 1L,REGULAR,SUCO PRONTO/NECTAR
30,BISC NESTLE NESFIT 88G MORANGO E CEREAIS,RECHEADO,BISCOITO
31,BEB ENERG RED BULL 250ML 4UN-PACK,SABORIZADO,ENERGÉTICO
32,MIST BOLO DONA BENTA CHOC 400G,MISTURAS,FARINÁCEO
33,VINHO HUNG TOKAJI MUSCAT BCO 500ML,VINHO BRANCO,VINHO
34,PANELA PRESSAO FORT FLON 3L,PANELA DE PRESSÃO,UTENSÍLIOS DE INOX/ALUMÍNIO
35,CANECA ACASA A SEA 003,CANECA,UTENSÍLIOS DE PLÁSTICO
36,CJ FRIGIDEIRA TRAMONTINA 3PCS V20399781,CONJUNTO DE PANELAS,UTENSÍLIOS DE INOX/ALUMÍNIO
37,SUPINO BANANA C/CHOC C/3 PCT 72G,BANANA,BOMBONIERE
38,REQUEIJAO TRAD CREM TIROLEZ 200G,CREMOSO,REQUEIJÃO
39,CONDIC NICK&VICK NUTRI CACHOS DEFI 300ML,CACHOS,CONDICIONADOR
40,FILE SALMAO NETUMAR CONG 1KG,FILÉ DE SALMÃO,PEIXE CONGELADO
41,LUVA SPONTEX LOUCA MAX TATO P PCT C/1PAR,LUVA DE LÁTEX,LUVA
42,MOUSSE MARACUJA 40G,MOUSSE,SOBREMESA
43,MEL APICULTURA MULTIFLOR COMPOSTO 280G,TRADICIONAL,MEL
